stock,median_tsm,tsm.score
bll.27.22-32,9.028,0.23076923076923073
bll.27.3a47de,8.613,0.34615384615384615
caa,0.679781079292297,0.9423076923076923
cod.27.21,0.91,0.9038461538461539
cod.27.22-24,0.918,0.8846153846153846
cod.27.24-32,1.219,0.7884615384615384
cod.27.47d20,1.02,0.8653846153846154
cre,10.0566329956055,0.09615384615384615
ele.2737.nea,15.336,0
fle.27.2223,9.013,0.25
fle.27.3.d.Bal,10.124,0.07692307692307687
fle.27.3.d.Eur,9.422,0.15384615384615385
fve.27.30-31,0.831,0.9230769230769231
had.27.46a20,1.661,0.6730769230769231
hal,1.43470251560211,0.7692307692307692
her.27.1-24a514a,6.502,0.4807692307692307
her.27.20-24,1.043,0.8269230769230769
her.27.25-2932,1.573,0.7115384615384616
her.27.3031,3.936,0.5576923076923077
her.27.3a47d,1.083,0.8076923076923077
hke.27.3a46-8abd,9.597,0.11538461538461542
lbe,8.89923191070557,0.28846153846153844
lem.27.3a47d,2.535,0.6153846153846154
lin.27.346-91214,5.412,0.5192307692307692
lum,1.45072424411774,0.75
mac.27.nea,10.147,0.038461538461538436
mon,9.38325977325439,0.17307692307692313
nep.fu.3-4,8.751,0.3076923076923077
ple.27.21-23,8.039,0.42307692307692313
ple.27.24-32,8.308,0.3846153846153846
ple.27.420,8.226,0.40384615384615385
pok.27.3a46,2.306,0.6346153846153846
pol.27.3a4,3.511,0.5769230769230769
pra.27.3a4a,0.257,0.9807692307692307
pra.27.4a,0.323,0.9615384615384616
sal.27.22-31,4.562,0.5384615384615384
san.sa.1r,1.022,0.8461538461538461
san.sa.3r,1.523,0.7307692307692308
san.sa.4,1.582,0.6923076923076923
sol.27.20-24,10.128,0.05769230769230771
spr.27.22-32,10.404,0.019230769230769273
spr.27.3a4,9.531,0.13461538461538458
tbr,9.12977886199951,0.1923076923076923
trs.27.22-32,7.026,0.46153846153846156
tur.27.22-32,9.086,0.21153846153846156
tur.27.3a,8.72,0.32692307692307687
tur.27.4,8.609,0.3653846153846154
usb,5.98246479034424,0.5
whe,0.160306289792061,1
whf,2.08732104301453,0.6538461538461539
whg.27.3a,7.7,0.4423076923076923
wit.27.3a47d,2.958,0.5961538461538461
yfm,8.95860767364502,0.2692307692307693
